Addresses,Reprint Addresses
"[Chen, Ming-Ter] Univ Virginia, Charlottesville, VA 22903 USA; [Michel, John G.] Univ Notre Dame, Notre Dame, IN 46556 USA; [Lin, Wenchen] Tsinghua Univ, Beijing, Peoples R China","Chen, MT (corresponding author), Univ Virginia, Darden Grad Sch Business, 100 Darden Blvd, Charlottesville, VA 22903 USA."
"[Chen, Liang] Univ Melbourne, Melbourne, Vic, Australia; [Yi, Jingtao] Renmin Univ China, Beijing, Peoples R China; [Li, Sali] Univ South Carolina, Columbia, SC 29208 USA; [Tong, Tony W.] Univ Colorado, Boulder, CO 80309 USA","Yi, JT (corresponding author), Renmin Univ China, Renmin Business Sch, 59 Zhongguancun St, Beijing 100872, Peoples R China."
"[Yu, Chengke] Nanjing Univ Finance & Econ, Sch Business Adm, 3 Wenyuan Rd, Nanjing, Peoples R China; [Yang, Haibin; Sun, He] City Univ Hong Kong, Coll Business, Hong Kong, Peoples R China; [Lin, Zhiang (John)] Univ Texas Dallas, Sch Management, Richardson, TX 75083 USA","Yu, CK (corresponding author), Nanjing Univ Finance & Econ, Sch Business Adm, 3 Wenyuan Rd, Nanjing, Peoples R China."
"[Wang, Long] City Univ Hong Kong, Hong Kong, Peoples R China; [Song, Fei] Ryerson Univ, Toronto, ON, Canada; [Zhong, Chen-Bo] Univ Toronto, Toronto, ON, Canada","Wang, L (corresponding author), City Univ Hong Kong, Dept Management, Coll Business, Kowloon, 83 Tat Chee Ave, Hong Kong, Peoples R China."
"[DesJardine, Mark R.] Penn State Univ, 415 Business Bldg, University Pk, PA 16802 USA; [Shi, Wei] Univ Miami, Coral Gables, FL 33124 USA; [Sun, Zhihui] Xiamen Univ, Xiamen, Peoples R China","DesJardine, MR (corresponding author), Penn State Univ, 415 Business Bldg, University Pk, PA 16802 USA."
"[Sun, Jiaqing] Monash Univ, 27 Sir John Monash Dr, Caulfield, Vic, Australia; [Wayne, Sandy J.] Univ Illinois, Chicago, IL 60680 USA; [Liu, Yan] Wuhan Univ, Wuhan, Peoples R China","Sun, JQ (corresponding author), Monash Univ, 27 Sir John Monash Dr, Caulfield, Vic, Australia."
"[Bledow, Ronald] Singapore Management Univ, Lee Kong Chian Sch Business, 50 Stamford Rd, Singapore 178899, Singapore; [Kuhnel, Jana] Univ Vienna, Vienna, Austria; [Jin, Mengzi] Peking Univ, Beijing, Peoples R China; [Kuhl, Julius] Univ Osnabruck, Osnabruck, Germany","Bledow, R (corresponding author), Singapore Management Univ, Lee Kong Chian Sch Business, 50 Stamford Rd, Singapore 178899, Singapore."
"[Zhang, Juzhi] Univ Sci & Technol China, Sch Management, Hefei 230026, Anhui, Peoples R China; [Sethi, Suresh P.] Univ Texas Dallas, Naveen Jindal Sch Management, Richardson, TX 75080 USA; [Choi, Tsan-Ming] Hong Kong Polytech Univ, Inst Text & Clothing, Business Div, Hung Hom,Kowloon, Hong Kong, Peoples R China; [Cheng, T. C. E.] Hong Kong Polytech Univ, Fac Business, Hung Hom, Kowloon, Hong Kong, Peoples R China","Choi, TM (corresponding author), Hong Kong Polytech Univ, Inst Text & Clothing, Business Div, Hung Hom,Kowloon, Hong Kong, Peoples R China."
"[Shi, Tianqin] San Jose State Univ, Lucas Coll, San Jose, CA 95192 USA; [Shi, Tianqin] San Jose State Univ, Grad Sch Business, San Jose, CA 95192 USA; [Chhajed, Dilip] Purdue Univ, Krannert Sch Management, W Lafayette, IN 47907 USA; [Wan, Zhixi] Univ Hong Kong, Fac Business & Econ, Hong Kong, Peoples R China; [Liu, Yunchuan] Univ Illinois, Gies Coll Business, Champaign, IL 61820 USA","Chhajed, D (corresponding author), Purdue Univ, Krannert Sch Management, W Lafayette, IN 47907 USA."
"[Zhou, Weihua; Lin, Tiantian] Zhejiang Univ, Sch Management, Hangzhou, Zhejiang, Peoples R China; [Cai, Gangshu (George)] Santa Clara Univ, Leavey Sch Business, Santa Clara, CA 95053 USA","Cai, GS (corresponding author), Santa Clara Univ, Leavey Sch Business, Santa Clara, CA 95053 USA."
